2026-05-05 21:58:54 | ERROR    | agents.shared.marketdb | DB transaction rolled back: Empty table or column name specified
2026-05-05 21:58:57 | ERROR    | agents.shared.marketdb | DB transaction rolled back: table stock_delivery has no column named open
2026-05-05 21:59:43 | ERROR    | agents.shared.marketdb | DB transaction rolled back: table stock_delivery has no column named open
2026-05-05 22:00:18 | ERROR    | agents.shared.marketdb | DB transaction rolled back: table stock_delivery has no column named open
2026-05-05 22:00:54 | ERROR    | agents.shared.marketdb | DB transaction rolled back: table stock_delivery has no column named open
2026-05-05 22:01:29 | ERROR    | agents.shared.marketdb | DB transaction rolled back: table stock_delivery has no column named open
2026-05-05 22:02:04 | ERROR    | agents.shared.marketdb | DB transaction rolled back: table stock_delivery has no column named open
2026-05-05 22:02:38 | ERROR    | agents.shared.marketdb | DB transaction rolled back: table stock_delivery has no column named open
2026-05-05 22:03:24 | ERROR    | agents.shared.marketdb | DB transaction rolled back: table stock_delivery has no column named open
2026-05-05 22:04:23 | ERROR    | agents.shared.marketdb | DB transaction rolled back: table stock_delivery has no column named open
2026-05-05 22:05:37 | ERROR    | agents.shared.marketdb | DB transaction rolled back: table stock_delivery has no column named open
2026-05-05 22:06:51 | ERROR    | agents.shared.marketdb | DB transaction rolled back: table stock_delivery has no column named open
2026-05-05 22:08:06 | ERROR    | agents.shared.marketdb | DB transaction rolled back: table stock_delivery has no column named open
2026-05-05 22:08:58 | ERROR    | agents.shared.marketdb | DB transaction rolled back: table stock_delivery has no column named open
2026-05-05 22:09:41 | ERROR    | agents.shared.marketdb | DB transaction rolled back: table stock_delivery has no column named open
2026-05-05 22:10:35 | ERROR    | agents.shared.marketdb | DB transaction rolled back: table stock_delivery has no column named open
2026-05-05 22:11:54 | ERROR    | agents.shared.marketdb | DB transaction rolled back: Empty table or column name specified
2026-05-05 22:22:48 | ERROR    | agents.shared.marketdb | DB transaction rolled back: UNIQUE constraint failed: stock_delivery.symbol, stock_delivery.series, stock_delivery.date
2026-05-05 22:23:26 | ERROR    | agents.shared.marketdb | DB transaction rolled back: UNIQUE constraint failed: stock_delivery.symbol, stock_delivery.series, stock_delivery.date
2026-05-05 22:24:31 | ERROR    | agents.shared.marketdb | DB transaction rolled back: UNIQUE constraint failed: stock_delivery.symbol, stock_delivery.series, stock_delivery.date
2026-05-05 22:27:50 | ERROR    | agents.shared.marketdb | DB transaction rolled back: UNIQUE constraint failed: stock_delivery.symbol, stock_delivery.series, stock_delivery.date
2026-05-05 22:29:21 | ERROR    | agents.shared.marketdb | DB transaction rolled back: UNIQUE constraint failed: stock_delivery.symbol, stock_delivery.series, stock_delivery.date
2026-05-05 22:30:24 | ERROR    | agents.shared.marketdb | DB transaction rolled back: UNIQUE constraint failed: stock_delivery.symbol, stock_delivery.series, stock_delivery.date
2026-05-05 22:31:28 | ERROR    | agents.shared.marketdb | DB transaction rolled back: UNIQUE constraint failed: stock_delivery.symbol, stock_delivery.series, stock_delivery.date
2026-05-05 22:45:04 | ERROR    | agents.shared.marketdb | DB transaction rolled back: table market_activity has no column named unnamed_0
2026-05-05 22:45:05 | ERROR    | agents.shared.marketdb | DB transaction rolled back: table market_activity has no column named unnamed_0
2026-05-05 22:45:05 | ERROR    | agents.shared.marketdb | DB transaction rolled back: table market_activity has no column named unnamed_0
2026-05-05 22:45:05 | ERROR    | agents.shared.marketdb | DB transaction rolled back: table market_activity has no column named unnamed_0
2026-05-05 22:45:05 | ERROR    | agents.shared.marketdb | DB transaction rolled back: table market_activity has no column named unnamed_0
2026-05-05 22:45:05 | ERROR    | agents.shared.marketdb | DB transaction rolled back: table market_activity has no column named unnamed_0
2026-05-05 22:45:05 | ERROR    | agents.shared.marketdb | DB transaction rolled back: table market_activity has no column named unnamed_0
2026-05-05 22:45:05 | ERROR    | agents.shared.marketdb | DB transaction rolled back: table market_activity has no column named unnamed_0
2026-05-05 22:45:05 | ERROR    | agents.shared.marketdb | DB transaction rolled back: table market_activity has no column named unnamed_0
2026-05-05 22:45:05 | ERROR    | agents.shared.marketdb | DB transaction rolled back: table market_activity has no column named unnamed_0
2026-05-05 22:45:05 | ERROR    | agents.shared.marketdb | DB transaction rolled back: table market_activity has no column named unnamed_0
2026-05-05 22:45:06 | ERROR    | agents.shared.marketdb | DB transaction rolled back: table market_activity has no column named unnamed_0
2026-05-05 22:45:06 | ERROR    | agents.shared.marketdb | DB transaction rolled back: table market_activity has no column named unnamed_0
2026-05-05 22:45:06 | ERROR    | agents.shared.marketdb | DB transaction rolled back: table market_activity has no column named unnamed_0
2026-05-05 22:45:06 | ERROR    | agents.shared.marketdb | DB transaction rolled back: table market_activity has no column named unnamed_0
2026-05-05 22:45:06 | ERROR    | agents.shared.marketdb | DB transaction rolled back: table market_activity has no column named unnamed_0
2026-05-05 22:45:06 | ERROR    | agents.shared.marketdb | DB transaction rolled back: table market_activity has no column named unnamed_0
2026-05-05 22:45:06 | ERROR    | agents.shared.marketdb | DB transaction rolled back: table market_activity has no column named unnamed_0
2026-05-05 22:45:06 | ERROR    | agents.shared.marketdb | DB transaction rolled back: table market_activity has no column named unnamed_0
2026-05-05 22:45:06 | ERROR    | agents.shared.marketdb | DB transaction rolled back: table market_activity has no column named unnamed_0
2026-05-05 22:45:06 | ERROR    | agents.shared.marketdb | DB transaction rolled back: table market_activity has no column named unnamed_0
2026-05-05 22:45:07 | ERROR    | agents.shared.marketdb | DB transaction rolled back: table market_activity has no column named unnamed_0
2026-05-05 22:45:07 | ERROR    | agents.shared.marketdb | DB transaction rolled back: table market_activity has no column named unnamed_0
2026-05-05 22:45:07 | ERROR    | agents.shared.marketdb | DB transaction rolled back: table market_activity has no column named unnamed_0
2026-05-05 22:45:07 | ERROR    | agents.shared.marketdb | DB transaction rolled back: table market_activity has no column named symbol
2026-05-05 22:45:07 | ERROR    | agents.shared.marketdb | DB transaction rolled back: table market_activity has no column named symbol
2026-05-05 22:45:07 | ERROR    | agents.shared.marketdb | DB transaction rolled back: table market_activity has no column named symbol
2026-05-05 22:45:07 | ERROR    | agents.shared.marketdb | DB transaction rolled back: table market_activity has no column named symbol
2026-05-05 22:45:07 | ERROR    | agents.shared.marketdb | DB transaction rolled back: table market_activity has no column named symbol
2026-05-05 22:45:07 | ERROR    | agents.shared.marketdb | DB transaction rolled back: table market_activity has no column named symbol
2026-05-05 22:45:07 | ERROR    | agents.shared.marketdb | DB transaction rolled back: table market_activity has no column named symbol
2026-05-05 22:45:07 | ERROR    | agents.shared.marketdb | DB transaction rolled back: table market_activity has no column named symbol
2026-05-05 22:45:07 | ERROR    | agents.shared.marketdb | DB transaction rolled back: table market_activity has no column named symbol
2026-05-05 22:45:07 | ERROR    | agents.shared.marketdb | DB transaction rolled back: table market_activity has no column named symbol
2026-05-05 22:45:08 | ERROR    | agents.shared.marketdb | DB transaction rolled back: table market_activity has no column named symbol
2026-05-05 22:45:08 | ERROR    | agents.shared.marketdb | DB transaction rolled back: table market_activity has no column named symbol
2026-05-05 22:45:08 | ERROR    | agents.shared.marketdb | DB transaction rolled back: table market_activity has no column named symbol
2026-05-05 22:45:08 | ERROR    | agents.shared.marketdb | DB transaction rolled back: table market_activity has no column named symbol
2026-05-05 22:45:08 | ERROR    | agents.shared.marketdb | DB transaction rolled back: table market_activity has no column named symbol
2026-05-05 22:45:08 | ERROR    | agents.shared.marketdb | DB transaction rolled back: table market_activity has no column named symbol
2026-05-05 22:45:08 | ERROR    | agents.shared.marketdb | DB transaction rolled back: table market_activity has no column named symbol
2026-05-05 22:45:08 | ERROR    | agents.shared.marketdb | DB transaction rolled back: table market_activity has no column named symbol
