2026-05-05 21:58:57 | WARNING  | pipeline.parsers.base | Could not parse date column: date - keeping raw values
2026-05-05 21:59:43 | WARNING  | pipeline.parsers.base | Could not parse date column: date - keeping raw values
2026-05-05 22:00:18 | WARNING  | pipeline.parsers.base | Could not parse date column: date - keeping raw values
2026-05-05 22:00:54 | WARNING  | pipeline.parsers.base | Could not parse date column: date - keeping raw values
2026-05-05 22:01:29 | WARNING  | pipeline.parsers.base | Could not parse date column: date - keeping raw values
2026-05-05 22:02:04 | WARNING  | pipeline.parsers.base | Could not parse date column: date - keeping raw values
2026-05-05 22:02:38 | WARNING  | pipeline.parsers.base | Could not parse date column: date - keeping raw values
2026-05-05 22:03:24 | WARNING  | pipeline.parsers.base | Could not parse date column: date - keeping raw values
2026-05-05 22:04:23 | WARNING  | pipeline.parsers.base | Could not parse date column: date - keeping raw values
2026-05-05 22:05:37 | WARNING  | pipeline.parsers.base | Could not parse date column: date - keeping raw values
2026-05-05 22:06:51 | WARNING  | pipeline.parsers.base | Could not parse date column: date - keeping raw values
2026-05-05 22:08:05 | WARNING  | pipeline.parsers.base | Could not parse date column: date - keeping raw values
2026-05-05 22:08:58 | WARNING  | pipeline.parsers.base | Could not parse date column: date - keeping raw values
2026-05-05 22:09:41 | WARNING  | pipeline.parsers.base | Could not parse date column: date - keeping raw values
2026-05-05 22:10:35 | WARNING  | pipeline.parsers.base | Could not parse date column: date - keeping raw values
2026-05-05 22:11:55 | WARNING  | pipeline.parsers.base | Could not parse date column: date - keeping raw values
2026-05-05 22:12:37 | WARNING  | pipeline.parsers.base | Could not parse date column: date - keeping raw values
2026-05-05 22:13:17 | WARNING  | pipeline.parsers.base | Could not parse date column: date - keeping raw values
2026-05-05 22:13:56 | WARNING  | pipeline.parsers.base | Could not parse date column: date - keeping raw values
2026-05-05 22:14:36 | WARNING  | pipeline.parsers.base | Could not parse date column: date - keeping raw values
2026-05-05 22:15:33 | WARNING  | pipeline.parsers.base | Could not parse date column: date - keeping raw values
2026-05-05 22:16:38 | WARNING  | pipeline.parsers.base | Could not parse date column: date - keeping raw values
2026-05-05 22:17:35 | WARNING  | pipeline.parsers.base | Could not parse date column: date - keeping raw values
2026-05-05 22:18:19 | WARNING  | pipeline.parsers.base | Could not parse date column: date - keeping raw values
2026-05-05 22:19:00 | WARNING  | pipeline.parsers.base | Could not parse date column: date - keeping raw values
2026-05-05 22:19:40 | WARNING  | pipeline.parsers.base | Could not parse date column: date - keeping raw values
2026-05-05 22:20:25 | WARNING  | pipeline.parsers.base | Could not parse date column: date - keeping raw values
2026-05-05 22:21:01 | WARNING  | pipeline.parsers.base | Could not parse date column: date - keeping raw values
2026-05-05 22:21:36 | WARNING  | pipeline.parsers.base | Could not parse date column: date - keeping raw values
2026-05-05 22:22:11 | WARNING  | pipeline.parsers.base | Could not parse date column: date - keeping raw values
2026-05-05 22:22:48 | WARNING  | pipeline.parsers.base | Could not parse date column: date - keeping raw values
2026-05-05 22:23:26 | WARNING  | pipeline.parsers.base | Could not parse date column: date - keeping raw values
2026-05-05 22:24:31 | WARNING  | pipeline.parsers.base | Could not parse date column: date - keeping raw values
2026-05-05 22:25:45 | WARNING  | pipeline.parsers.base | Could not parse date column: date - keeping raw values
2026-05-05 22:26:46 | WARNING  | pipeline.parsers.base | Could not parse date column: date - keeping raw values
2026-05-05 22:27:50 | WARNING  | pipeline.parsers.base | Could not parse date column: date - keeping raw values
2026-05-05 22:29:21 | WARNING  | pipeline.parsers.base | Could not parse date column: date - keeping raw values
2026-05-05 22:30:24 | WARNING  | pipeline.parsers.base | Could not parse date column: date - keeping raw values
2026-05-05 22:31:27 | WARNING  | pipeline.parsers.base | Could not parse date column: date - keeping raw values
2026-05-05 22:32:31 | WARNING  | pipeline.parsers.base | Could not parse date column: date - keeping raw values
2026-05-05 22:34:09 | WARNING  | pipeline.parsers.base | Could not parse date column: date - keeping raw values
2026-05-05 22:35:14 | WARNING  | pipeline.parsers.base | Could not parse date column: date - keeping raw values
2026-05-05 22:36:17 | WARNING  | pipeline.parsers.base | Could not parse date column: date - keeping raw values
2026-05-05 22:37:35 | WARNING  | pipeline.parsers.base | Could not parse date column: date - keeping raw values
2026-05-05 22:39:22 | WARNING  | pipeline.parsers.base | Could not parse date column: date - keeping raw values
2026-05-05 22:40:38 | WARNING  | pipeline.parsers.base | Could not parse date column: date - keeping raw values
2026-05-05 22:41:42 | WARNING  | pipeline.parsers.base | Could not parse date column: date - keeping raw values
2026-05-05 22:42:59 | WARNING  | pipeline.parsers.base | Could not parse date column: date - keeping raw values
2026-05-05 22:44:03 | WARNING  | pipeline.parsers.base | Could not parse date column: date - keeping raw values
