2026-05-05 21:58:38 | INFO     | pipeline.watcher | ============================================================
2026-05-05 21:58:38 | INFO     | pipeline.watcher |   MICC FILE WATCHER  (polling mode)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | ============================================================
2026-05-05 21:58:38 | INFO     | pipeline.watcher |   Watching : C:\Users\marka\OneDrive\Desktop\NSE Data
2026-05-05 21:58:38 | INFO     | pipeline.watcher |   Indices  : C:\Users\marka\OneDrive\Desktop\NSE Data\NSE INDICES
2026-05-05 21:58:38 | INFO     | pipeline.watcher |   Other    : C:\Users\marka\OneDrive\Desktop\NSE Data\NSE OTHER DATA
2026-05-05 21:58:38 | INFO     | pipeline.watcher |   Root exists    : True
2026-05-05 21:58:38 | INFO     | pipeline.watcher |   Indices exists : True
2026-05-05 21:58:38 | INFO     | pipeline.watcher |   Other exists   : True
2026-05-05 21:58:38 | INFO     | pipeline.watcher | ============================================================
2026-05-05 21:58:38 | INFO     | pipeline.watcher |   Drop CSV files into sub-folders. Ctrl+C to stop.
2026-05-05 21:58:38 | INFO     | pipeline.watcher | ============================================================
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MW-ETF-04-Apr-2026.csv (48.6 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: all etfs
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MW-ETF-06-Apr-2026.csv (48.3 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: all etfs
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MW-ETF-07-Apr-2026.csv (48.3 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: all etfs
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MW-ETF-09-Apr-2026 (1).csv (48.5 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: all etfs
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MW-ETF-09-Apr-2026.csv (48.3 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: all etfs
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MW-ETF-10-Apr-2026.csv (48.4 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: all etfs
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MW-ETF-15-Apr-2026.csv (48.3 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: all etfs
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MW-ETF-16-Apr-2026.csv (48.3 KB)
